,Country,IDH,PIB PC,Host,Total atletas,Hombres participantes,Mujeres participantes,Gobierno,Paridad,Población,Population,Oro,Plata,Bronce,Medals
1,Alemania (GER),0.868,23635.93,0,422,241,181,0,0.43,82211508,82.212,13,17,26,56
2,Australia (AUS),0.898,21679.25,1,617,341,276,0,0.45,19153000,19.153,16,25,17,58
3,Brasil (BRA),0.684,3749.75,0,198,106,92,0,0.46,174790340,174.790,0,6,6,12
4,Canadá (CAN),0.867,24190.25,0,294,150,144,0,0.49,30685730,30.686,3,3,8,14
5,China (CHN),0.594,959.37,0,271,91,180,1,0.66,1262645000,1262.645,28,16,15,59
6,Corea del Norte (PRK),0.6,463.00,0,31,14,17,1,0.55,22929075,22.929,0,1,3,4
7,Corea del Sur (KOR),0.817,11947.58,0,281,175,106,0,0.38,47008111,47.008,8,10,10,28
8,Cuba (CUB),0.686,2747.10,0,229,147,82,1,0.36,11126430,11.126,11,11,7,29
9,EEUU (USA),0.885,36334.91,0,586,333,253,0,0.43,282162411,282.162,36,23,31,90
10,España (ESP),0.825,14713.07,0,321,216,105,0,0.33,40567864,40.568,3,3,6,12
11,Etiopía (ETH),0.283,124.46,0,26,15,11,0,0.42,66224804,66.225,4,1,3,8
12,Francia (FRA),0.849,22364.03,0,336,211,125,0,0.37,60912500,60.913,13,14,11,38
13,Gran Bretaña (GBR),0.867,28149.87,0,310,181,129,0,0.42,58892514,58.893,11,10,7,28
14,Grecia (GRE),0.796,12042.95,0,140,82,58,0,0.41,10805808,10.806,4,6,3,13
15,Hungría (HUN),0.769,4624.28,0,178,109,69,0,0.39,10210971,10.211,8,6,3,17
16,India (IND),0.493,443.31,0,65,44,2,0,0.03,1056575549,1056.576,0,0,1,1
17,Indonesia (INA),0.606,780.19,0,47,27,20,0,0.43,211513823,211.514,1,3,2,6
18,Irán (IRI),0.670,1670.01,0,33,32,1,0,0.03,65623405,65.623,3,0,1,4
19,Italia (ITA),0.830,20087.59,0,361,246,115,0,0.32,56942108,56.942,13,8,13,34
20,Jamaica (JAM),0.662,3384.69,0,48,22,26,0,0.54,2654701,2.655,0,4,3,7
21,Japón (JPN),0.855,38532.04,0,266,156,110,0,0.41,126843000,126.843,5,8,5,18
22,Kenia (KEN),0.451,397.48,0,56,34,22,0,0.39,31964557,31.965,2,3,2,7
23,México (MEX),0.702,7157.81,0,78,52,26,0,0.33,98899845,98.900,1,2,3,6
24,Noruega (NOR),0.917,38131.46,0,93,44,49,0,0.53,4490967,4.491,4,3,3,10
25,Nueva Zelanda (NZL),0.869,13641.10,0,147,77,70,0,0.48,3857700,3.858,1,0,3,4
26,Países Bajos (NED),0.876,26149.41,0,231,147,84,0,0.36,15925513,15.926,12,9,4,25
27,Polonia (POL),0.785,4492.73,0,187,129,58,0,0.31,38258629,38.259,6,5,3,14
28,Rumania (ROU),0.709,1659.91,0,145,71,74,0,0.51,22442971,22.443,11,6,9,26
29,Rusia (EUN=RUS),0.720,1771.60,0,435,241,194,1,0.45,146596557,146.597,32,28,28,88
30,Tailandia (THA),0.649,2007.74,0,51,34,18,0,0.35,63240194,63.240,1,0,2,3
31,Tuquía (TUR),0.655,4316.55,0,57,42,17,0,0.30,63240194,63.240,3,0,2,5
